,Date,Test,Incident Rise Time (ms),Transmitted Rise Time (ms)
0,2-28-25,Elastic_Test10_022825.txt,0.03166250380763813,0.018887502271354606
1,2-28-25,Elastic_Test1_022825.txt,0.03218750387077307,0.021137502541932918
2,2-28-25,Elastic_Test2_022825.txt,0.03337500401357829,0.020600002477294765
3,2-28-25,Elastic_Test5_022825.txt,0.031900003836199176,0.019950002399127698
4,2-28-25,Elastic_Test8_022825.txt,0.03561249910035258,0.020487499482442217
5,2-28-25,Elastic_Test9_022825.txt,0.033750004058674676,0.01863750224129035
6,3-4-25,Elastic_Test07.txt,0.022524999430970638,0.013112499668750388
7,3-4-25,Elastic_Test08.txt,0.025612503080083115,0.015862501907577098
8,3-4-25,Elastic_Test09.txt,0.024150002904207213,0.01451250174523011
9,3-3-25,Elastic_Test1_3.3.25.txt,0.027937501326960046,0.01917500091076363
10,3-3-25,Elastic_Test2_3.3.25.txt,0.023487499406655843,0.017787499550649954
11,3-3-25,Elastic_Test3_3.3.25.txt,0.022450001066317782,0.01702500080864411
12,3-3-25,Elastic_Test4_3.3.25.txt,0.025937499344763637,0.017537499556965486
13,3-3-25,Elastic_Test5_3.3.25.txt,0.02366249940223497,0.017437499559491698
14,3-3-25,Elastic_Test6_3.3.25.txt,0.026974999318554183,0.020774999475179357
15,3-3-25,Elastic_Test7_3.3.25.txt,0.025537501212966163,0.018587500882858876
16,3-3-25,Elastic_Test8_3.3.25.txt,0.0252249993627629,0.01897499952065118
17,3-3-25,Elastic_Test9_3.3.25.txt,0.025049999367183773,0.018912499522230064
18,3-3-25,Elastic_Test10_3.3.25.txt,0.02501250118803,0.018875000896514393
19,3-3-25,Elastic_Test11_3.3.25.txt,0.018725000889389776,0.01573750074749114
20,3-3-25,Elastic_Test12_3.3.25.txt,0.02408750114409486,0.016650000790832564
